BatchID,BatchCreatedBy,BatchTimeStamp,BatchFacilityID,ProductID,VirginPO,VirginLot,VirginWeight,CurrentWeight
8594,804,1/24/2020 19:29,10,415,70015,52,500,0
8680,1256,3/5/2020 15:22,4,220,20217,Velo DNI,27.24,0
8710,1256,3/17/2020 17:34,4,225,70515,10,299.37,0
8712,1256,3/18/2020 16:31,4,225,70515,9,585.13,0
8805,797,5/15/2020 14:53,10,115,73470,US81614,100,0
8836,804,6/4/2020 18:12,10,324,73683,500883,186,0
8838,804,6/4/2020 18:17,10,324,73683,500678,500,0
8839,804,6/4/2020 18:22,10,115,73470,US81614,60,0
8921,804,7/31/2020 17:33,10,415,73682,51,504,0
8924,797,8/3/2020 13:08,10,115,74421,US81632,200,0
8926,1256,8/3/2020 15:51,4,131,74833,A6061-02-2001-01,40,0
8949,1068,8/20/2020 18:42,4,415,70015,52,500,0
9040,1256,10/13/2020 13:50,4,141,74833,A7050-02-1911-01,40,0
9049,1256,10/20/2020 13:46,4,115,75785,US81632,500,0
9079,1256,11/5/2020 19:57,4,225,75782,11,285.76,0
9091,797,11/10/2020 19:44,10,324,77339,501796,589.67,0
9127,804,12/2/2020 17:36,4,324,75536,501458,261.32,0
9189,1256,12/31/2020 21:38,4,226,76426,31,1197.5,0
9463,1256,5/25/2021 21:11,4,263,,W41445,21.78,0
9466,1256,5/26/2021 19:31,4,225,81874,11,295.78,0
10754,3623,10/15/2021 19:17,4,611,76582,12,400,300.12
10797,1480,11/5/2021 20:32,4,324,75536,501570,59,0
10805,1480,11/10/2021 22:29,4,324,75536,501458,127.12,0
10819,1480,11/17/2021 17:48,4,324,75536,501571,181.6,0
10873,1480,12/17/2021 16:56,4,252,86697,32,250,190
11004,1480,2/23/2022 23:30,4,233,87712,29,365,0
11006,1480,2/23/2022 23:48,4,324,87880,512557,299,0
11079,1435,3/23/2022 17:01,4,324,87880,520203,108.84,0
11155,3623,4/22/2022 19:28,4,313,86335,23,600,0
11369,1435,7/19/2022 16:27,4,131,81866,A6061-02-1909-01,50,0
11386,3623,7/25/2022 21:29,4,233,87712,32,600,0
11410,1435,8/2/2022 21:19,4,131,81866,A6061-02-2103-01,30,0
11412,3623,8/2/2022 22:13,4,115,91826,US81781,300,165
