BlendID,BlendDate,BlendCreatedBy,MaterialID,TotalWeight
369,2015-08-20 06:00:00,178,110,19.46
370,2015-08-21 06:00:00,178,110,34.34
371,2015-08-21 06:00:00,178,110,22.32
372,2015-08-25 06:00:00,178,110,35.7
373,2015-09-16 06:00:00,178,110,35.760000000000005
374,2015-10-05 06:00:00,178,110,26.72
375,2015-10-16 06:00:00,178,110,39.3
376,2015-10-31 06:00:00,178,110,28.28
377,2015-11-04 06:00:00,178,110,27.0
378,2015-11-20 06:00:00,178,110,54.06
379,2015-08-22 06:00:00,178,320,97.75
380,2015-09-09 06:00:00,178,320,80.0
381,2015-10-23 06:00:00,178,320,113.22
382,2015-11-04 06:00:00,178,320,59.1
383,2015-11-20 06:00:00,178,320,71.06
384,2015-11-20 06:00:00,178,320,88.26
385,2015-08-20 06:00:00,178,310,79.94
386,2015-09-14 06:00:00,178,310,94.28
387,2015-09-22 06:00:00,178,310,106.67
388,2015-10-22 06:00:00,178,310,83.94
389,2015-08-14 06:00:00,178,210,98.0
390,2015-08-18 06:00:00,178,220,107.92
391,2015-08-18 06:00:00,178,220,106.12
392,2015-09-01 06:00:00,178,510,89.9
393,2015-08-14 06:00:00,178,410,62.54
394,2015-08-24 06:00:00,178,410,60.0
395,2015-10-05 06:00:00,178,410,66.42
396,2015-09-22 06:00:00,178,220,108.96
397,2015-10-20 06:00:00,178,220,108.96
398,2015-10-15 06:00:00,178,220,110.34
399,,178,220,109.1
401,2015-12-01 15:31:00,178,220,75.33
402,2015-12-01 15:36:00,812,220,157.61
404,2015-12-01 20:45:00,121,110,37.68
405,2015-12-01 20:50:00,121,110,38.4
406,2015-12-01 21:16:00,121,320,84.5
407,2015-12-01 21:31:00,121,320,75.9
408,2015-12-01 21:44:00,121,310,81.38
409,2015-12-01 22:03:00,121,210,79.96000000000001
410,2015-12-02 14:51:00,121,220,90.8
411,2015-12-02 17:17:00,812,220,250.0
412,2015-12-02 22:08:00,121,220,139.44
413,2015-12-04 01:09:00,812,320,68.61
414,2015-12-04 04:49:00,812,110,33.4
415,2015-12-05 19:03:00,224,220,109.3
416,2015-12-06 02:04:00,812,110,19.78
417,2015-12-06 20:37:00,812,220,96.02
